,Long,Lat,Sand,Prod
141,3.5698,5.7153,40.534,3.655
142,3.5699,5.7135,40.406,4.517
143,3.5699,5.7122,37.305,3.258
144,3.5699,5.7141,39.722,4.813
145,3.5699,5.7125,66.256,6.579
146,3.57,5.7139,40.458,4.859
147,3.57,5.7158,40.951,4.591
148,3.57,5.7157,39.462,4.199
149,3.57,5.7125,68.655,5.844
150,3.57,5.7133,66.116,5.874
151,3.57,5.7148,39.782,3.617
152,3.5701,5.7186,42.861,4.252
153,3.5701,5.7159,40.479,4.11
154,3.5702,5.7153,39.94,3.956
155,3.5702,5.7158,40.226,4.022
156,3.5702,5.7187,39.874,4.304
157,3.5702,5.7078,39.596,4.438
158,3.5702,5.7156,39.823,4.409
159,3.5703,5.7081,41.897,3.892
160,3.5703,5.7155,62.502,6.649
161,3.5703,5.7078,75.98,7.211
162,3.5703,5.7077,66.62,7.029
163,3.5704,5.7153,62.286,6.27
164,3.5704,5.7187,39.507,3.025
165,3.5704,5.7143,65.81,6.825
166,3.5704,5.7186,42.34,4.525
167,3.5704,5.7142,39.773,3.867
168,3.5704,5.7146,39.453,3.618
169,3.5704,5.714,40.601,4.724
170,3.5705,5.7151,62.769,6.578
171,3.5705,5.7077,66.083,7.825
172,3.5705,5.7179,66.955,6.361
173,3.5705,5.7143,66.25,6.925
174,3.5705,5.7153,66.358,5.797
175,3.5705,5.708,65.887,6.931
176,3.5705,5.715,65.844,6.84
177,3.5706,5.7076,66.069,6.91
178,3.5706,5.7144,66.431,6.999
179,3.5706,5.7081,39.971,3.596
180,3.5706,5.7179,66.631,7.036
181,3.5706,5.7187,40.458,4.614
182,3.5706,5.7185,40.344,3.842
183,3.5706,5.7146,66.563,6.837
184,3.5706,5.7149,66.235,6.848
185,3.5707,5.7078,68.894,6.511
186,3.5707,5.708,66.641,6.757
187,3.5707,5.7184,40.387,3.659
188,3.5707,5.7082,39.962,3.567
189,3.5707,5.7076,66.595,6.915
190,3.5707,5.715,40.083,3.65
191,3.5708,5.7185,39.711,4.163
192,3.5708,5.7083,66.953,7.061
193,3.5708,5.7076,66.84,5.851
